This document is a summary of the European Public Assessment Report ( EPAR ) .  ||| این سند خلاصه ای از گزارش ارزیابی عمومی اروپا (EPAR) است.
It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .  ||| این توضیح می دهد که چگونه کمیته محصولات دارویی برای مصارف انسانی (CHMP) مطالعات انجام شده را ارزیابی کرده است تا به توصیه های خود در مورد نحوه استفاده از دارو برسد.
If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .  ||| اگر به اطلاعات بیشتری در مورد وضعیت پزشکی یا درمان خود نیاز دارید ، جزوه بسته (همچنین بخشی از EPAR) را بخوانید یا با پزشک یا داروساز خود تماس بگیرید.
If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .  ||| اگر می خواهید اطلاعات بیشتری در مورد توصیه های CHMP داشته باشید ، بحث علمی (همچنین بخشی از EPAR) را بخوانید.
What is Alimta ?  ||| Alimta چیست؟
Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .  ||| Alimta پودری است که در محلول تزریق (قطره در ورید) ساخته شده است.
It contains the active substance pemetrexed .  ||| این ماده حاوی ماده فعال pemetrexed است.
What is Alimta used for ?  ||| از Alimta استفاده می شود؟
Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .  ||| Alimta برای درمان دو نوع سرطان استفاده می شود: مزوتلیوما پلور (سرطان روکش ریه ها که معمولاً در اثر قرار گرفتن در معرض آزبست ایجاد می شود).
Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .  ||| Alimta به همراه سیس پلاتین (یکی دیگر از داروهای ضد سرطان) استفاده می شود که سرطان غیرقابل توصیف است (نمی توان به تنهایی با عمل جراحی برداشته شد) و بدخیم (گسترش یافته است ، یا احتمالاً به راحتی در قسمت های دیگر بدن پخش می شود) ، در بیمارانی که ندارند) قبل از سرطان ریه سلولهای غیر کوچک پیشرفته یا متاستاتیک که بر سلولهای سنگفرشی تأثیر نمی گذارد ، شیمی درمانی (داروهای سرطان) دریافت کرد.
Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .  ||| Alimta در ترکیب با سیس پلاتین در بیمارانی که قبلاً تحت درمان قرار نگرفته اند ، و به خودی خود در بیمارانی که در گذشته نوع دیگری از شیمی درمانی دریافت کرده اند ، استفاده می شود.
The medicine can only be obtained with a prescription .  ||| این دارو فقط با یک نسخه قابل دریافت است.
How is Alimta used ?  ||| چگونه از Alimta استفاده می شود؟
Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .  ||| Alimta فقط باید تحت نظارت یک پزشک که در استفاده از شیمی درمانی ضد سرطان واجد شرایط است ، داده شود.
The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .  ||| دوز توصیه شده Alimta 500 میلی گرم در هر متر مربع از سطح بدن (با استفاده از قد و وزن بیمار محاسبه می شود).
It is given once every three weeks as an intravenous infusion lasting 10 minutes .  ||| هر سه هفته یک بار به عنوان یک تزریق داخل وریدی 10 دقیقه به طول می انجامد.
To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .  ||| برای کاهش عوارض جانبی ، بیماران باید یک کورتیکواستروئید و اسید فولیک (نوعی ویتامین) مصرف کنند و در طول درمان با Alimta تزریق ویتامین B12 دریافت کنند.
When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .  ||| هنگامی که Alimta با سیس پلاتین داده می شود ، یک داروی ضد امیک (برای جلوگیری از استفراغ) و مایعات (برای جلوگیری از کم آبی) نیز باید قبل یا بعد از دوز سیس پلاتین داده شود.
Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .  ||| درمان باید در بیمارانی که تعداد خون آنها غیر طبیعی است یا عوارض جانبی دیگری دارند ، به تأخیر بیفتد یا قطع شود یا دوز آن کاهش یابد.
Alimta is not recommended for use in patients with moderate or severe kidney problems .  ||| Alimta برای استفاده در بیماران مبتلا به مشکلات کلیوی متوسط یا شدید توصیه نمی شود.
