d001.s001.t001,This,,X,,این
d001.s001.t002,document,document,N,bn:00028015n,سند
d001.s001.t003,is,be,V,,n/a
d001.s001.t004,a,,X,,n/a
d001.s001.t005,summary,summary,N,bn:00075142n,خلاصه ای
d001.s001.t006,of,,X,,از
d001.s001.t007,the,,X,,n/a
d001.s001.t008,European,european,J,bn:00102440a,اروپا
d001.s001.t009,Public,public,J,bn:00109211a,عمومی
d001.s001.t010,Assessment,assessment,N,bn:00006502n,ارزیابی
d001.s001.t011,Report,report,N,bn:00067181n,گزارش
d001.s001.t012,(,,X,,n/a
d001.s001.t013,EPAR,epar,N,,(EPAR)
d001.s001.t014,),,X,,n/a
d001.s001.t015,.,,X,,است.
d001.s002.t001,It,,X,,این
d001.s002.t002,explains,explain,V,bn:00087869v,توضیح می دهد
d001.s002.t003,how,,X,,چگونه
d001.s002.t004,the,,X,,که
d001.s002.t005,Committee,committee,N,bn:00021015n,کمیته
d001.s002.t006,for,,X,,n/a
d001.s002.t007,Medicinal,medicinal,J,bn:00106556a,محصولات
d001.s002.t008,Products,product,N,bn:00064584n,دارویی
d001.s002.t009,for,,X,,برای مصارف
d001.s002.t010,Human,human,J,bn:00104385a,انسانی
d001.s002.t011,Use,use,N,bn:00030627n,n/a
d001.s002.t012,(,,X,,n/a
d001.s002.t013,CHMP,chmp,N,bn:00302314n,(CHMP)
d001.s002.t014,),,X,,n/a
d001.s002.t015,assessed,assess,V,bn:00082720v,ارزیابی
d001.s002.t016,the,,X,,را
d001.s002.t017,studies,study,N,bn:00074790n,مطالعات شده
d001.s002.t018,performed,perform,V,bn:00087107v,انجام
d001.s002.t019,",",,X,,های
d001.s002.t020,to,,X,,تا
d001.s002.t021,reach,reach,V,bn:00082226v,به برسد.
d001.s002.t022,their,,X,,خود
d001.s002.t023,recommendations,recommendation,N,bn:00066562n,توصیه
d001.s002.t024,on,,X,,در مورد
d001.s002.t025,how,,X,,نحوه
d001.s002.t026,to,,X,,n/a
d001.s002.t027,use,use,V,bn:00082705v,استفاده از
d001.s002.t028,the,,X,,n/a
d001.s002.t029,medicine,medicine,N,bn:00054128n,دارو
d001.s002.t030,.,,X,,n/a
d001.s003.t001,If,,X,,اگر
d001.s003.t002,you,,X,,n/a
d001.s003.t003,need,need,V,bn:00091028v,به نیاز دارید
d001.s003.t004,more,more,J,bn:00106935a,بیشتری
d001.s003.t005,information,information,N,bn:00025314n,اطلاعات
d001.s003.t006,about,,X,,در مورد
d001.s003.t007,your,,X,,n/a
d001.s003.t008,medical,medical,J,bn:00106555a,پزشکی
d001.s003.t009,condition,condition,N,bn:00021648n,وضعیت
d001.s003.t010,or,,X,,یا
d001.s003.t011,your,,X,,خود
d001.s003.t012,treatment,treatment,N,bn:00047235n,درمان
d001.s003.t013,",",,X,,،
d001.s003.t014,read,read,V,bn:00092424v,بخوانید
d001.s003.t015,the,,X,,n/a
d001.s003.t016,Package,package,N,bn:00013882n,جزوه
d001.s003.t017,Leaflet,leaflet,N,bn:00012133n,n/a
d001.s003.t018,(,,X,,(همچنین
d001.s003.t019,also,also,R,bn:00114246r,n/a
d001.s003.t020,part,part,N,bn:00021395n,بخشی از
d001.s003.t021,of,,X,,n/a
d001.s003.t022,the,,X,,را
d001.s003.t023,EPAR,epar,N,,EPAR)
d001.s003.t024,),,X,,n/a
d001.s003.t025,or,,X,,یا یا
d001.s003.t026,contact,contact,V,bn:00085696v,با تماس
d001.s003.t027,your,,X,,خود
d001.s003.t028,doctor,doctor,N,bn:00027976n,پزشک
d001.s003.t029,or,,X,,n/a
d001.s003.t030,pharmacist,pharmacist,N,bn:00004992n,داروساز
d001.s003.t031,.,,X,,بگیرید.
d001.s004.t001,If,,X,,اگر
d001.s004.t002,you,,X,,باشید
d001.s004.t003,want,want,V,bn:00086682v,می خواهید
d001.s004.t004,more,more,J,bn:00106935a,بیشتری
d001.s004.t005,information,information,N,bn:00025314n,اطلاعات
d001.s004.t006,on,,X,,در مورد
d001.s004.t007,the,,X,,n/a
d001.s004.t008,basis,basis,N,bn:00008786n,n/a
d001.s004.t009,of,,X,,n/a
d001.s004.t010,the,,X,,n/a
d001.s004.t011,CHMP,chmp,N,bn:00302314n,CHMP
d001.s004.t012,recommendations,recommendation,N,bn:00066562n,توصیه
d001.s004.t013,",",,X,,های ،
d001.s004.t014,read,read,V,bn:00092424v,بخوانید.
d001.s004.t015,the,,X,,n/a
d001.s004.t016,Scientific,scientific,J,bn:00110175a,علمی
d001.s004.t017,Discussion,discussion,N,bn:00027523n,n/a
d001.s004.t018,(,,X,,(همچنین
d001.s004.t019,also,also,R,bn:00114246r,n/a
d001.s004.t020,part,part,N,bn:00021395n,بحث بخشی
d001.s004.t021,of,,X,,از
d001.s004.t022,the,,X,,را
d001.s004.t023,EPAR,epar,N,,EPAR)
d001.s004.t024,),,X,,n/a
d001.s004.t025,.,,X,,n/a
d001.s005.t001,What,,X,,n/a
d001.s005.t002,is,be,V,,n/a
d001.s005.t003,Alimta,alimta,N,bn:00602447n,Alimta
d001.s005.t004,?,,X,,چیست؟
d001.s006.t001,Alimta,alimta,N,bn:00602447n,Alimta
d001.s006.t002,is,be,V,,n/a
d001.s006.t003,a,,X,,n/a
d001.s006.t004,powder,powder,N,bn:00063926n,پودری
d001.s006.t005,that,,X,,که
d001.s006.t006,is,be,V,,است
d001.s006.t007,made up,make up,V,bn:00083187v,رگ)
d001.s006.t008,into,,X,,در
d001.s006.t009,a,,X,,n/a
d001.s006.t010,solution,solution,N,bn:00072760n,n/a
d001.s006.t011,for,,X,,محلول
d001.s006.t012,infusion,infusion,N,bn:00046734n,n/a
d001.s006.t013,(,,X,,برای تزریق
d001.s006.t014,drip,drip,V,bn:00087306v,n/a
d001.s006.t015,into,,X,,به
d001.s006.t016,a,,X,,n/a
d001.s006.t017,vein,vein,N,bn:00079681n,n/a
d001.s006.t018,),,X,,n/a
d001.s006.t019,.,,X,,n/a
d001.s007.t001,It,,X,,این
d001.s007.t002,contains,contain,V,bn:00085499v,حاوی
d001.s007.t003,the,,X,,n/a
d001.s007.t004,active,active,J,bn:00096387a,فعال
d001.s007.t005,substance,substance,N,bn:00074986n,ماده ماده
