This document is a summary of the European Public Assessment Report ( EPAR ) .	این سند خلاصه ای از گزارش ارزیابی عمومی اروپا (EPAR) است.	0-0 1-1 4-2 4-3 5-4 10-5 9-6 8-7 7-8 12-9 14-10
It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	این توضیح می دهد که چگونه کمیته محصولات دارویی برای مصارف انسانی (CHMP) مطالعات انجام شده را ارزیابی کرده است تا به توصیه های خود در مورد نحوه استفاده از دارو برسد.	0-0 1-1 1-2 1-3 3-4 2-5 4-6 6-7 7-8 8-9 8-10 9-11 12-12 16-13 17-14 16-15 15-16 14-17 19-20 20-21 22-22 18-23 21-24 23-25 23-26 24-27 26-28 26-29 28-30 20-31
If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	اگر به اطلاعات بیشتری در مورد وضعیت پزشکی یا درمان خود نیاز دارید ، جزوه بسته (همچنین بخشی از EPAR) را بخوانید یا با پزشک یا داروساز خود تماس بگیرید.	0-0 2-1 4-2 3-3 5-4 5-5 8-6 7-7 9-8 11-9 10-10 2-11 2-12 12-13 15-14 17-16 19-17 19-18 22-19 21-20 13-21 24-22 25-23 27-24 24-25 29-26 26-27 25-28 30-29
If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	اگر می خواهید اطلاعات بیشتری در مورد توصیه های CHMP داشته باشید ، بحث علمی (همچنین بخشی از EPAR) را بخوانید.	0-0 2-1 2-2 4-3 3-4 5-5 5-6 11-7 12-8 10-9 1-11 12-12 19-13 15-14 17-15 19-16 20-17 22-18 21-19 13-20
What is Alimta ?	Alimta چیست؟	2-0 3-1
Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta پودری است که در محلول برای تزریق (قطره به رگ) ساخته شده است.	0-0 3-1 5-2 4-3 7-4 10-5 12-6 12-7 14-9 6-10 19-11 19-12
It contains the active substance pemetrexed .	این ماده حاوی ماده فعال pemetrexed است.	0-0 4-1 1-2 4-3 3-4 5-5 6-6
What is Alimta used for ?	از Alimta استفاده می شود؟	1-0 2-1 3-2 5-3 5-4
Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta برای درمان دو نوع سرطان استفاده می شود: مزوتلیوما پلور (سرطان روکش ریه ها که معمولاً در اثر قرار گرفتن در معرض آزبست ایجاد می شود).	0-0 9-1 4-2 5-3 6-4 8-5 2-6 10-9 10-10 11-11 19-13 15-14 20-15 22-16 18-17 23-18 25-19 25-20 25-21 25-22 27-23 23-24 28-25 28-26
Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta به همراه سیس پلاتین (یکی دیگر از داروهای ضد سرطان) استفاده می شود که سرطان غیرقابل توصیف است (نمی توان به تنهایی با عمل جراحی برداشته شد) و بدخیم (گسترش یافته است ، یا احتمالاً به راحتی در قسمت های دیگر بدن پخش می شود) ، در بیمارانی که ندارند) قبل از سرطان ریه سلولهای غیر کوچک پیشرفته یا متاستاتیک که بر سلولهای سنگفرشی تأثیر نمی گذارد ، شیمی درمانی (داروهای سرطان) دریافت کرد.	0-0 4-2 5-3 5-4 6-5 7-6 9-8 8-9 8-10 2-11 10-12 18-13 13-15 17-16 2-17 14-18 16-19 17-20 22-22 20-23 21-24 21-25 19-26 24-28 25-29 26-30 28-31 31-32 29-33 30-34 32-35 35-36 35-37 45-38 39-39 39-40 38-41 42-42 34-43 43-44 44-46 45-47 46-48 47-49 43-50 57-51 57-52 55-53 63-54 71-55 61-56 62-57 58-58 59-59 60-60 65-61 68-62 71-63 70-64 70-65 67-66 70-67 44-68 51-69 51-70 52-71 52-72 50-73 72-74
Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta در ترکیب با سیس پلاتین در بیمارانی که قبلاً تحت درمان قرار نگرفته اند ، و به تنهایی در بیمارانی که در گذشته نوع دیگری از شیمی درمانی دریافت کرده اند ، استفاده می شود.	0-0 3-1 4-2 5-3 6-4 6-5 7-6 8-7 9-8 2-9 13-10 13-11 13-12 12-13 12-14 15-15 16-16 11-18 19-19 20-20 21-21 22-22 20-23 31-24 26-25 25-26 27-27 28-28 28-29 24-30 24-31 24-32 15-33 32-34 32-35 32-36
The medicine can only be obtained with a prescription .	این دارو فقط با یک نسخه قابل دریافت است.	0-0 1-1 3-2 6-3 7-4 8-5 4-6 8-7 9-8
How is Alimta used ?	چگونه از Alimta استفاده می شود؟	0-0 1-1 2-2 3-3 4-4 4-5
Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta فقط باید تحت نظارت یک پزشک که در استفاده از شیمی درمانی ضد سرطان واجد شرایط است ، داده شود.	0-0 2-1 1-2 5-3 7-4 9-5 10-6 11-7 14-8 16-9 8-10 19-11 19-12 18-13 19-14 13-15 13-16 12-17 20-18 19-19 20-20
The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	دوز توصیه شده Alimta 500 میلی گرم در هر متر مربع از سطح بدن (با استفاده از قد و وزن بیمار محاسبه می شود).	2-0 1-1 1-2 4-3 6-4 7-5 6-6 8-7 8-8 9-9 9-10 11-11 13-12 12-13 17-15 17-16 21-17 22-18 23-19 19-20 16-21 24-22 24-23
It is given once every three weeks as an intravenous infusion lasting 10 minutes .	هر سه هفته یک بار به عنوان یک تزریق داخل وریدی 10 دقیقه به طول می انجامد.	4-0 5-1 6-2 8-3 3-4 2-5 7-6 8-7 10-8 9-9 9-10 12-11 13-12 7-13 13-14 14-15 14-16
To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	برای کاهش عوارض جانبی ، بیماران باید یک کورتیکواستروئید و اسید فولیک (نوعی ویتامین) مصرف کنند و در طول درمان با Alimta تزریق ویتامین B12 دریافت کنند.	0-0 1-1 3-2 2-3 4-4 5-5 6-6 8-7 9-8 10-9 12-10 11-11 14-12 17-13 17-14 20-15 20-16 26-17 26-18 27-19 28-20 29-21 22-22 24-23 25-24 21-25
