d001.s001.t001	This	nan	X	nan	این	nan
d001.s001.t002	document	document	N	bn:00028015n	سند	bn:00028016n
d001.s001.t003	is	be	V	nan	nan	nan
d001.s001.t004	a	nan	X	nan	nan	nan
d001.s001.t005	summary	summary	N	bn:00075142n	خلاصه ای	bn:00021341n
d001.s001.t006	of	nan	X	nan	از	nan
d001.s001.t007	the	nan	X	nan	nan	nan
d001.s001.t008	European	european	J	bn:00102440a	اروپا	nan
d001.s001.t009	Public	public	J	bn:00109211a	عمومی	bn:00109211a
d001.s001.t010	Assessment	assessment	N	bn:00006502n	ارزیابی	bn:00031973n
d001.s001.t011	Report	report	N	bn:00067181n	گزارش	bn:00067181n
d001.s001.t012	(	nan	X	nan	nan	nan
d001.s001.t013	EPAR	epar	N	nan	(	nan
d001.s001.t014	)	nan	X	nan	nan	nan
d001.s001.t015	.	nan	X	nan	EPAR	nan
d001.s002.t001	It	nan	X	nan	این	nan
d001.s002.t002	explains	explain	V	bn:00087869v	توضیح می دهد	bn:00032329n
d001.s002.t003	how	nan	X	nan	چگونه	bn:00115252r
d001.s002.t004	the	nan	X	nan	که	nan
d001.s002.t005	Committee	committee	N	bn:00021015n	کمیته	bn:00021015n
d001.s002.t006	for	nan	X	nan	nan	nan
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a	محصولات	bn:00037326n
d001.s002.t008	Products	product	N	bn:00064584n	دارویی	bn:00108519a
d001.s002.t009	for	nan	X	nan	برای مصارف	nan
d001.s002.t010	Human	human	J	bn:00104385a	انسانی	bn:00044576n
d001.s002.t011	Use	use	N	bn:00030627n	nan	nan
d001.s002.t012	(	nan	X	nan	nan	nan
d001.s002.t013	CHMP	chmp	N	bn:00302314n	(	nan
d001.s002.t014	)	nan	X	nan	nan	nan
d001.s002.t015	assessed	assess	V	bn:00082720v	شده	bn:00089351v
d001.s002.t016	the	nan	X	nan	انجام	bn:00029881n
d001.s002.t017	studies	study	N	bn:00074790n	CHMP مطالعات	nan
d001.s002.t018	performed	perform	V	bn:00087107v	)	nan
d001.s002.t019	,	nan	X	nan	توصیه	nan
d001.s002.t020	to	nan	X	nan	کرده_است	bn:00084593v
d001.s002.t021	reach	reach	V	bn:00082226v	تا دارو	nan
d001.s002.t022	their	nan	X	nan	های	bn:00066562n
d001.s002.t023	recommendations	recommendation	N	bn:00066562n	به	nan
d001.s002.t024	on	nan	X	nan	خود در	bn:00054156n
d001.s002.t025	how	nan	X	nan	مورد	nan
d001.s002.t026	to	nan	X	nan	nan	nan
d001.s002.t027	use	use	V	bn:00082705v	نحوه استفاده	bn:00038799n
d001.s002.t028	the	nan	X	nan	nan	nan
d001.s002.t029	medicine	medicine	N	bn:00054128n	از	bn:00030627n
d001.s002.t030	.	nan	X	nan	nan	nan
d001.s003.t001	If	nan	X	nan	اگر	nan
d001.s003.t002	you	nan	X	nan	nan	nan
d001.s003.t003	need	need	V	bn:00091028v	به نیاز دارید	nan
d001.s003.t004	more	more	J	bn:00106935a	بیشتری	bn:00105886a
d001.s003.t005	information	information	N	bn:00025314n	اطلاعات	bn:00046705n
d001.s003.t006	about	nan	X	nan	در مورد	nan
d001.s003.t007	your	nan	X	nan	nan	nan
d001.s003.t008	medical	medical	J	bn:00106555a	پزشکی	bn:00106554a
d001.s003.t009	condition	condition	N	bn:00021648n	وضعیت	bn:00063703n
d001.s003.t010	or	nan	X	nan	یا	nan
d001.s003.t011	your	nan	X	nan	خود	nan
d001.s003.t012	treatment	treatment	N	bn:00047235n	درمان	bn:00024461n
d001.s003.t013	,	nan	X	nan	،	nan
d001.s003.t014	read	read	V	bn:00092424v	)	nan
d001.s003.t015	the	nan	X	nan	nan	nan
d001.s003.t016	Package	package	N	bn:00013882n	جزوه	bn:00012133n
d001.s003.t017	Leaflet	leaflet	N	bn:00012133n	nan	nan
d001.s003.t018	(	nan	X	nan	(	nan
d001.s003.t019	also	also	R	bn:00114246r	nan	nan
d001.s003.t020	part	part	N	bn:00021395n	همچنین بخشی	bn:00114246r
d001.s003.t021	of	nan	X	nan	nan	nan
d001.s003.t022	the	nan	X	nan	EPAR	nan
d001.s003.t023	EPAR	epar	N	nan	از	nan
d001.s003.t024	)	nan	X	nan	nan	nan
d001.s003.t025	or	nan	X	nan	را با	nan
d001.s003.t026	contact	contact	V	bn:00085696v	بخوانید داروساز	bn:00082817v
d001.s003.t027	your	nan	X	nan	یا	nan
d001.s003.t028	doctor	doctor	N	bn:00027976n	یا	nan
d001.s003.t029	or	nan	X	nan	nan	nan
d001.s003.t030	pharmacist	pharmacist	N	bn:00004992n	پزشک	bn:00027976n
d001.s003.t031	.	nan	X	nan	خود	nan
d001.s004.t001	If	nan	X	nan	اگر	nan
d001.s004.t002	you	nan	X	nan	بحث	nan
d001.s004.t003	want	want	V	bn:00086682v	می خواهید_اطلاعات	bn:00054706n
d001.s004.t004	more	more	J	bn:00106935a	در	bn:00105886a
d001.s004.t005	information	information	N	bn:00025314n	بیشتری	bn:00046705n
d001.s004.t006	on	nan	X	nan	مورد توصیه	nan
d001.s004.t007	the	nan	X	nan	nan	nan
d001.s004.t008	basis	basis	N	bn:00008786n	nan	nan
d001.s004.t009	of	nan	X	nan	nan	nan
d001.s004.t010	the	nan	X	nan	nan	nan
d001.s004.t011	CHMP	chmp	N	bn:00302314n	داشته_باشید	nan
d001.s004.t012	recommendations	recommendation	N	bn:00066562n	های	bn:00066562n
d001.s004.t013	,	nan	X	nan	CHMP علمی	bn:00054156n
d001.s004.t014	read	read	V	bn:00092424v	بخوانید	nan
d001.s004.t015	the	nan	X	nan	nan	nan
d001.s004.t016	Scientific	scientific	J	bn:00110175a	همچنین	bn:00110176a
d001.s004.t017	Discussion	discussion	N	bn:00027523n	nan	nan
d001.s004.t018	(	nan	X	nan	بخشی	nan
d001.s004.t019	also	also	R	bn:00114246r	nan	nan
d001.s004.t020	part	part	N	bn:00021395n	( از	bn:00027523n
d001.s004.t021	of	nan	X	nan	EPAR	bn:00032658n
d001.s004.t022	the	nan	X	nan	را	nan
d001.s004.t023	EPAR	epar	N	nan	)	nan
d001.s004.t024	)	nan	X	nan	nan	nan
d001.s004.t025	.	nan	X	nan	nan	nan
d001.s005.t001	What	nan	X	nan	nan	nan
d001.s005.t002	is	be	V	nan	nan	nan
d001.s005.t003	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s005.t004	?	nan	X	nan	چیست	nan
d001.s006.t001	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s006.t002	is	be	V	nan	nan	nan
d001.s006.t003	a	nan	X	nan	nan	nan
d001.s006.t004	powder	powder	N	bn:00063926n	پودری	bn:00102977a
d001.s006.t005	that	nan	X	nan	که	nan
d001.s006.t006	is	be	V	nan	است	nan
d001.s006.t007	made up	make up	V	bn:00083187v	ورید	bn:00079681n
d001.s006.t008	into	nan	X	nan	در	nan
d001.s006.t009	a	nan	X	nan	nan	nan
d001.s006.t010	solution	solution	N	bn:00072760n	nan	nan
d001.s006.t011	for	nan	X	nan	محلول	bn:00072760n
d001.s006.t012	infusion	infusion	N	bn:00046734n	nan	nan
d001.s006.t013	(	nan	X	nan	تزریق (	bn:00046787n
d001.s006.t014	drip	drip	V	bn:00087306v	nan	nan
d001.s006.t015	into	nan	X	nan	در	nan
d001.s006.t016	a	nan	X	nan	nan	nan
d001.s006.t017	vein	vein	N	bn:00079681n	nan	nan
d001.s006.t018	)	nan	X	nan	nan	nan
d001.s006.t019	.	nan	X	nan	nan	nan
d001.s007.t001	It	nan	X	nan	این	nan
d001.s007.t002	contains	contain	V	bn:00085499v	حاوی	bn:00098521a
d001.s007.t003	the	nan	X	nan	nan	nan
d001.s007.t004	active	active	J	bn:00096387a	فعال	bn:00096392a
d001.s007.t005	substance	substance	N	bn:00074986n	ماده ماده	bn:00053867n
d001.s007.t006	pemetrexed	pemetrexed	N	bn:00602447n	pemetrexed	nan
d001.s007.t007	.	nan	X	nan	است	nan
d001.s008.t001	What	nan	X	nan	nan	nan
d001.s008.t002	is	be	V	nan	از	nan
d001.s008.t003	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s008.t004	used	use	V	bn:00082705v	استفاده	bn:00030627n
d001.s008.t005	for	nan	X	nan	nan	nan
d001.s008.t006	?	nan	X	nan	می شود	bn:00081319n
d001.s009.t001	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s009.t002	is	be	V	nan	nan	nan
d001.s009.t003	used	use	V	bn:00082705v	استفاده	bn:00030627n
d001.s009.t004	to	nan	X	nan	nan	nan
d001.s009.t005	treat	treat	V	bn:00084532v	درمان	bn:00024461n
d001.s009.t006	two	nan	X	nan	دو	nan
d001.s009.t007	types	type	N	bn:00078798n	نوع	bn:00073210n
d001.s009.t008	of	nan	X	nan	nan	nan
d001.s009.t009	cancer	cancer	N	bn:00015180n	سرطان	bn:00015180n
d001.s009.t010	:	nan	X	nan	برای	nan
d001.s009.t011	pleural	pleural	J	bn:00108692a	: مزوتلیوما	nan
d001.s009.t012	mesothelioma	mesothelioma	N	bn:00054512n	پلور	bn:00063016n
d001.s009.t013	(	nan	X	nan	nan	nan
d001.s009.t014	cancer	cancer	N	bn:00015180n	nan	nan
d001.s009.t015	of	nan	X	nan	nan	nan
d001.s009.t016	the	nan	X	nan	روکش	bn:00016472n
d001.s009.t017	lining	lining	N	bn:00051366n	nan	nan
d001.s009.t018	of	nan	X	nan	nan	nan
d001.s009.t019	the	nan	X	nan	که	nan
d001.s009.t020	lungs	lung	N	bn:00052341n	سرطان	bn:00015180n
d001.s009.t021	that	nan	X	nan	ریه	bn:00052341n
d001.s009.t022	is	be	V	nan	nan	nan
d001.s009.t023	usually	usually	R	bn:00114778r	ها	bn:00052341n
d001.s009.t024	caused	cause	V	bn:00084069v	معمولاً معرض	bn:00114778r
d001.s009.t025	by	nan	X	nan	nan	nan
d001.s009.t026	exposure	exposure	N	bn:00032379n	در اثر قرار گرفتن	nan
d001.s009.t027	to	nan	X	nan	nan	nan
d001.s009.t028	asbestos	asbestos	N	bn:00006236n	در	nan
d001.s009.t029	)	nan	X	nan	آزبست ایجاد	bn:00006236n
d001.s009.t030	.	nan	X	nan	nan	nan
d001.s010.t001	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s010.t002	is	be	V	nan	nan	nan
d001.s010.t003	used	use	V	bn:00082705v	سرطان سرطان	bn:00015180n
d001.s010.t004	together	together	R	nan	nan	nan
d001.s010.t005	with	nan	X	nan	همراه	bn:00006532n
d001.s010.t006	cisplatin	cisplatin	N	bn:00577781n	سیس پلاتین	bn:00044245n
d001.s010.t007	(	nan	X	nan	(	nan
d001.s010.t008	another	nan	X	nan	یکی	bn:00000005n
d001.s010.t009	anticancer	anticancer	J	bn:00097220a	داروهای ضد	bn:00028872n
d001.s010.t010	medicine	medicine	N	bn:00054128n	از	nan
d001.s010.t011	)	nan	X	nan	)	nan
d001.s010.t012	when	nan	X	nan	nan	nan
d001.s010.t013	the	nan	X	nan	nan	nan
d001.s010.t014	cancer	cancer	N	bn:00015180n	شود	bn:00087737v
d001.s010.t015	is	be	V	nan	غیرقابل	bn:00107546a
d001.s010.t016	unresectable	unresectable	J	nan	nan	nan
d001.s010.t017	(	nan	X	nan	توصیف	bn:00032370n
d001.s010.t018	cannot	nan	X	nan	که است	nan
d001.s010.t019	be	be	V	nan	استفاده	bn:00030627n
d001.s010.t020	removed	remove	V	bn:00092783v	با	nan
d001.s010.t021	by	nan	X	nan	توان	bn:00063941n
d001.s010.t022	surgery	surgery	N	bn:00059129n	به تنهایی	nan
d001.s010.t023	alone	alone	J	bn:00096871a	نمی	bn:00116360r
d001.s010.t024	)	nan	X	nan	nan	nan
d001.s010.t025	and	nan	X	nan	جراحی	bn:00059129n
d001.s010.t026	malignant	malignant	J	bn:00106363a	برداشته	bn:00089884v
d001.s010.t027	(	nan	X	nan	شد	nan
d001.s010.t028	has	have	V	nan	nan	nan
d001.s010.t029	spread	spread	V	bn:00092083v	)	nan
d001.s010.t030	,	nan	X	nan	بدخیم	bn:00057267n
d001.s010.t031	or	nan	X	nan	(	nan
d001.s010.t032	is	be	V	nan	و	nan
d001.s010.t033	likely	likely	J	bn:00105981a	گسترش	bn:00099361a
d001.s010.t034	to	nan	X	nan	nan	nan
d001.s010.t035	spread	spread	V	bn:00092083v	قسمت	nan
d001.s010.t036	easily	easily	R	bn:00115155r	یافته_است ،	bn:00084711v
d001.s010.t037	,	nan	X	nan	nan	nan
d001.s010.t038	to	nan	X	nan	nan	nan
d001.s010.t039	other	other	J	bn:00108011a	راحتی	nan
d001.s010.t040	parts	part	N	bn:00021395n	احتمالاً به	nan
d001.s010.t041	of	nan	X	nan	nan	nan
d001.s010.t042	the	nan	X	nan	nan	nan
d001.s010.t043	body	body	N	bn:00011744n	در	bn:00020913n
d001.s010.t044	)	nan	X	nan	های )	bn:00049229n
d001.s010.t045	,	nan	X	nan	بدن بر	bn:00108011a
d001.s010.t046	in	nan	X	nan	یا پخش	nan
d001.s010.t047	patients	patient	N	bn:00061017n	می	bn:00029896n
d001.s010.t048	who	nan	X	nan	شود	bn:00081319n
d001.s010.t049	have	have	V	nan	nan	nan
d001.s010.t050	not	not	R	bn:00116360r	nan	nan
d001.s010.t051	received	receive	V	bn:00087863v	گذارد	bn:00021961n
d001.s010.t052	chemotherapy	chemotherapy	N	bn:00018141n	سلولهای سنگفرشی	nan
d001.s010.t053	(	nan	X	nan	تأثیر نمی	bn:00017027n
d001.s010.t054	medicines	medicine	N	bn:00054128n	nan	nan
d001.s010.t055	for	nan	X	nan	nan	nan
d001.s010.t056	cancer	cancer	N	bn:00015180n	بیمارانی	nan
d001.s010.t057	)	nan	X	nan	nan	nan
d001.s010.t058	before	nan	X	nan	، در	nan
d001.s010.t059	advanced	advanced	J	bn:00096528a	از	nan
d001.s010.t060	or	nan	X	nan	سرطان	nan
d001.s010.t061	metastatic	metastatic	J	bn:00106664a	ریه	bn:00015180n
d001.s010.t062	non-small	non-small	J	nan	)	bn:00089084v
d001.s010.t063	cell	cell	N	bn:00017027n	قبل	nan
d001.s010.t064	lung	lung	N	bn:00052341n	که	bn:00001742n
d001.s010.t065	cancer	cancer	N	bn:00015180n	nan	nan
d001.s010.t066	that	nan	X	nan	سلولهای	bn:00052341n
d001.s010.t067	is	be	V	nan	nan	nan
d001.s010.t068	not	not	R	bn:00116360r	متاستاتیک	nan
d001.s010.t069	affecting	affect	V	bn:00082427v	غیر	bn:00017027n
d001.s010.t070	the	nan	X	nan	nan	nan
d001.s010.t071	squamous	squamous	J	nan	پیشرفته یا که	bn:00106685a
d001.s010.t072	cells	cell	N	bn:00017027n	ندارند کوچک	nan
d001.s010.t073	.	nan	X	nan	،	bn:00107546a
d001.s011.t001	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s011.t002	is	be	V	nan	nan	nan
d001.s011.t003	used	use	V	bn:00082705v	قبلاً	bn:00114165r
d001.s011.t004	in	nan	X	nan	در	nan
d001.s011.t005	combination	combination	N	bn:00020872n	ترکیب	bn:00001466n
d001.s011.t006	with	nan	X	nan	با	nan
d001.s011.t007	cisplatin	cisplatin	N	bn:00577781n	سیس پلاتین	bn:00044245n
d001.s011.t008	in	nan	X	nan	در	nan
d001.s011.t009	patients	patient	N	bn:00061017n	بیمارانی	bn:00001742n
d001.s011.t010	who	nan	X	nan	که	nan
d001.s011.t011	have	have	V	nan	nan	nan
d001.s011.t012	not	not	R	bn:00116360r	در	bn:00026574n
d001.s011.t013	been	be	V	nan	نگرفته_اند ،	bn:00085670v
d001.s011.t014	treated	treat	V	bn:00084532v	تحت درمان قرار	nan
d001.s011.t015	before	nan	X	nan	nan	nan
d001.s011.t016	,	nan	X	nan	و شود	nan
d001.s011.t017	and	nan	X	nan	به	nan
d001.s011.t018	on	nan	X	nan	nan	nan
d001.s011.t019	its	nan	X	nan	nan	nan
d001.s011.t020	own	own	J	nan	بیمارانی	nan
d001.s011.t021	in	nan	X	nan	که نوع	bn:00001742n
d001.s011.t022	patients	patient	N	bn:00061017n	در	nan
d001.s011.t023	who	nan	X	nan	گذشته	nan
d001.s011.t024	have	have	V	nan	nan	nan
d001.s011.t025	received	receive	V	bn:00087863v	، استفاده می	bn:00084593v
d001.s011.t026	another	nan	X	nan	شیمی	nan
d001.s011.t027	type	type	N	bn:00078798n	از	bn:00108011a
d001.s011.t028	of	nan	X	nan	درمانی	bn:00018123n
d001.s011.t029	chemotherapy	chemotherapy	N	bn:00018141n	دریافت کرده_اند	bn:00096890a
d001.s011.t030	in	nan	X	nan	nan	nan
d001.s011.t031	the	nan	X	nan	nan	nan
d001.s011.t032	past	past	N	bn:00060927n	دیگری	bn:00012986n
d001.s011.t033	.	nan	X	nan	.	bn:00054706n
d001.s012.t001	The	nan	X	nan	این	nan
d001.s012.t002	medicine	medicine	N	bn:00054128n	دارو	bn:00028872n
d001.s012.t003	can	nan	X	nan	nan	nan
d001.s012.t004	only	only	R	bn:00116450r	فقط	bn:00114234r
d001.s012.t005	be	be	V	nan	قابل	bn:00108829a
d001.s012.t006	obtained	obtain	V	bn:00082276v	nan	nan
d001.s012.t007	with	nan	X	nan	با	nan
d001.s012.t008	a	nan	X	nan	یک	nan
d001.s012.t009	prescription	prescription	N	bn:00064195n	نسخه دریافت	bn:00029773n
d001.s012.t010	.	nan	X	nan	است	nan
d001.s013.t001	How	nan	X	nan	چگونه	bn:00115161r
d001.s013.t002	is	be	V	nan	از	nan
d001.s013.t003	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s013.t004	used	use	V	bn:00082705v	استفاده	bn:00079404n
d001.s013.t005	?	nan	X	nan	می شود	bn:00054706n
d001.s014.t001	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s014.t002	should	nan	X	nan	باید	nan
d001.s014.t003	only	only	R	bn:00116450r	فقط	bn:00114234r
d001.s014.t004	be	be	V	nan	nan	nan
d001.s014.t005	given	give	V	bn:00088826v	nan	nan
d001.s014.t006	under	nan	X	nan	تحت	nan
d001.s014.t007	the	nan	X	nan	nan	nan
d001.s014.t008	supervision	supervision	N	bn:00059908n	نظارت	bn:00059908n
d001.s014.t009	of	nan	X	nan	از	nan
d001.s014.t010	a	nan	X	nan	یک	nan
d001.s014.t011	doctor	doctor	N	bn:00027976n	پزشک	bn:00027976n
d001.s014.t012	who	nan	X	nan	که	nan
d001.s014.t013	is	be	V	nan	است	nan
d001.s014.t014	qualified	qualify	V	nan	واجد شرایط	bn:00096445a
d001.s014.t015	in	nan	X	nan	در	nan
d001.s014.t016	the	nan	X	nan	nan	nan
d001.s014.t017	use	use	N	bn:00030627n	استفاده	bn:00030627n
d001.s014.t018	of	nan	X	nan	nan	nan
d001.s014.t019	anticancer	anticancer	J	bn:00097220a	ضد	nan
d001.s014.t020	chemotherapy	chemotherapy	N	bn:00018141n	شیمی درمانی سرطان داده_شود	bn:00018123n
d001.s014.t021	.	nan	X	nan	، .	nan
d001.s015.t001	The	nan	X	nan	nan	nan
d001.s015.t002	recommended	recommended	J	nan	توصیه شده	bn:00066562n
d001.s015.t003	dose	dose	N	bn:00028320n	دوز	bn:00028320n
d001.s015.t004	of	nan	X	nan	nan	nan
d001.s015.t005	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s015.t006	is	be	V	nan	nan	nan
d001.s015.t007	500	nan	X	nan	500 گرم	nan
d001.s015.t008	mg	mg	N	bn:00054701n	میلی	bn:00054701n
d001.s015.t009	per	nan	X	nan	در هر	nan
d001.s015.t010	square	square	J	nan	متر مربع	bn:00052501n
d001.s015.t011	metre	metre	N	bn:00052501n	nan	nan
d001.s015.t012	of	nan	X	nan	از	nan
d001.s015.t013	body	body	N	bn:00011744n	بدن	bn:00011744n
d001.s015.t014	surface	surface	N	bn:00075374n	سطح	bn:00075250n
d001.s015.t015	area	area	N	bn:00005518n	nan	nan
d001.s015.t016	(	nan	X	nan	nan	nan
d001.s015.t017	calculated	calculate	V	bn:00084373v	بیمار	bn:00001742n
d001.s015.t018	using	use	V	bn:00082705v	با استفاده	nan
d001.s015.t019	the	nan	X	nan	nan	nan
d001.s015.t020	patient	patient	N	bn:00061017n	وزن	bn:00007487n
d001.s015.t021	s	nan	X	nan	nan	nan
d001.s015.t022	height	height	N	bn:00043545n	از	nan
d001.s015.t023	and	nan	X	nan	قد	bn:00043545n
d001.s015.t024	weight	weight	N	bn:00080831n	و	nan
d001.s015.t025	)	nan	X	nan	محاسبه می	bn:00014688n
d001.s015.t026	.	nan	X	nan	nan	nan
d001.s016.t001	It	nan	X	nan	nan	nan
d001.s016.t002	is	be	V	nan	nan	nan
d001.s016.t003	given	give	V	bn:00088826v	به	nan
d001.s016.t004	once	once	R	bn:00115811r	بار	bn:00008462n
d001.s016.t005	every	every	J	bn:00102467a	هر	nan
d001.s016.t006	three	nan	X	nan	سه	nan
d001.s016.t007	weeks	week	N	bn:00043484n	هفته	bn:00043484n
d001.s016.t008	as	nan	X	nan	عنوان به	bn:00047690n
d001.s016.t009	an	nan	X	nan	یک یک	nan
d001.s016.t010	intravenous	intravenous	J	bn:00102230a	داخل وریدی	bn:00011396n
d001.s016.t011	infusion	infusion	N	bn:00046734n	تزریق	bn:00046787n
d001.s016.t012	lasting	last	V	bn:00087620v	nan	nan
d001.s016.t013	10	nan	X	nan	10	nan
d001.s016.t014	minutes	minute	N	bn:00055094n	دقیقه طول	bn:00055094n
d001.s016.t015	.	nan	X	nan	می انجامد	bn:00054706n
d001.s017.t001	To	nan	X	nan	برای	nan
d001.s017.t002	reduce	reduce	V	bn:00084079v	کاهش	bn:00025777n
d001.s017.t003	side	side	J	nan	جانبی	bn:00105762a
d001.s017.t004	effects	effect	N	bn:00029874n	عوارض	bn:00000690n
d001.s017.t005	,	nan	X	nan	،	nan
d001.s017.t006	patients	patient	N	bn:00061017n	بیماران	bn:00001742n
d001.s017.t007	should	nan	X	nan	باید	nan
d001.s017.t008	take	take	V	bn:00085689v	nan	nan
d001.s017.t009	a	nan	X	nan	یک	nan
d001.s017.t010	corticosteroid	corticosteroid	N	bn:00001507n	کورتیکواستروئید	bn:00001507n
d001.s017.t011	and	nan	X	nan	و	nan
d001.s017.t012	folic	folic	J	nan	فولیک	bn:00006295n
d001.s017.t013	acid	acid	N	bn:00000902n	اسید	bn:00000902n
d001.s017.t014	(	nan	X	nan	nan	nan
d001.s017.t015	a	nan	X	nan	(	nan
d001.s017.t016	type	type	N	bn:00078798n	nan	nan
d001.s017.t017	of	nan	X	nan	nan	nan
d001.s017.t018	vitamin	vitamin	N	bn:00080147n	نوعی ویتامین	bn:00073210n
d001.s017.t019	)	nan	X	nan	nan	nan
d001.s017.t020	,	nan	X	nan	nan	nan
d001.s017.t021	and	nan	X	nan	) مصرف	nan
d001.s017.t022	receive	receive	V	nan	ویتامین	bn:00006295n
d001.s017.t023	injections	injection	N	bn:00046785n	با	nan
d001.s017.t024	of	nan	X	nan	nan	nan
d001.s017.t025	vitamin	vitamin	N	bn:00080147n	Alimta	nan
d001.s017.t026	B12	b12	N	nan	تزریق	bn:00046786n
d001.s017.t027	during	nan	X	nan	کنند و	bn:00084494v
d001.s017.t028	treatment	treatment	N	bn:00047235n	در	nan
d001.s017.t029	with	nan	X	nan	طول	bn:00050662n
d001.s017.t030	Alimta	alimta	N	bn:00602447n	درمان	bn:00024461n
d001.s017.t031	.	nan	X	nan	nan	nan
d001.s018.t001	When	nan	X	nan	هنگامی	bn:00046209n
d001.s018.t002	Alimta	alimta	N	bn:00602447n	Alimta	nan
d001.s018.t003	is	be	V	nan	که	nan
d001.s018.t004	given	give	V	bn:00088826v	داده	bn:00089921v
d001.s018.t005	with	nan	X	nan	با	nan
d001.s018.t006	cisplatin	cisplatin	N	bn:00577781n	سیس پلاتین	bn:00000855n
d001.s018.t007	,	nan	X	nan	شود ،	bn:00088912v
d001.s018.t008	an	nan	X	nan	یک	nan
d001.s018.t009	anti-emetic	anti-emetic	J	nan	ضد	nan
d001.s018.t010	medicine	medicine	N	bn:00054128n	داروی	bn:00054128n
d001.s018.t011	(	nan	X	nan	امیک	bn:00000845n
d001.s018.t012	to	nan	X	nan	nan	nan
d001.s018.t013	prevent	prevent	V	bn:00088454v	برای جلوگیری	nan
d001.s018.t014	vomiting	vomit	V	bn:00083115v	nan	nan
d001.s018.t015	)	nan	X	nan	می ( از	nan
d001.s018.t016	and	nan	X	nan	استفراغ	bn:00027565n
d001.s018.t017	fluids	fluid	N	bn:00035426n	)	nan
d001.s018.t018	(	nan	X	nan	nan	nan
d001.s018.t019	to	nan	X	nan	nan	nan
d001.s018.t020	prevent	prevent	V	bn:00088454v	مایعات (	bn:00051472n
d001.s018.t021	dehydration	dehydration	N	bn:00025983n	برای	nan
d001.s018.t022	)	nan	X	nan	و جلوگیری	nan
d001.s018.t023	should	nan	X	nan	کم	bn:00034197n
d001.s018.t024	also	also	R	bn:00114246r	از	nan
