PairID	Text1	Text2
ENG-dev-0124	Nunca te arrepientas de nada de lo que hagas.	I recommend that you never regret anything that you do.
ENG-dev-0129	Había una familia que se estaba desmoronando lentamente, sólo para ser reparada al final.	The other one didn't do so well.
ENG-dev-0237	Cuando Green se rompió el ligamento anterior cruzado en un juego de pretemporada, Warner asumió como titular de los Rams.	When their main quarterback Trent Green was injured in a preseason game , Warner became the starter .
ENG-dev-0208	Cuatro jóvenes corren por una acera.	Four young boys flexing for the camera.
ENG-dev-0095	Hasta 2005, la familia Walton ocupó cinco puestos entre las diez personas más ricas de Estados Unidos.	Goodwater is a city in Coosa County , Alabama , United States .
ENG-dev-0173	Pine Bluff es la ciudad más grande y sede del condado de Jefferson, Arkansas, Estados Unidos.	Hurt is a town in Pittsylvania County , Virginia , United States .
ENG-dev-0047	Dios mío, me encanta esa línea.	Good lord in heaven, I am enamored of that particular entry.
ENG-dev-0167	un joven y un niño pequeño sosteniendo una gran cámara de cine parados junto a un conjunto de pistas.	A young man wearing a red t-shirt and black pants performs a front wheel stand on a bicycle.
ENG-dev-0196	Una mujer con una camiseta negra y pantalones cortos camina junto al agua mientras escucha sus auriculares.	A young man in a white shirt holding cotton candy next to a young woman in a white tank top.
ENG-dev-0149	Hablo más con él en la escuela que con mi propio novio.	At school I talk to him more than I talk to my own boyfriend.
ENG-dev-0013	Reclutó a Kamoya Kimeu, entre otros.	Stoiber is a keen football fan and he serves as Co-Chairman on the Advisory Board of FC Bayern Munich .
ENG-dev-0049	Si lastimas así a alguien entonces no lo amas.	You can't search for love, it will find you.
ENG-dev-0240	Catherine Fournier (nacida el 7 de abril de 1992) es una política canadiense que fue elegida alcaldesa de Longueuil el 7 de noviembre de 2021.	She is the third female mayor in the city's history.
ENG-dev-0242	Leer la propaganda me interesó en leer este libro.	All the emotions this book had made me feel.
ENG-dev-0181	No sé cuándo estará disponible para la venta en Yakarta.	It is sad because I will never be able to go home.
ENG-dev-0033	Forma abreviada de Dorothy -LRB- 3 -RRB-	Short for `` Dorothy '' -LRB- 3 -RRB-
ENG-dev-0183	Sabía que estarías interesado.	hey , little guy , you mind ?
ENG-dev-0057	La ciudad de Hiawatha mantiene tres parques.	Hiawatha is a city of Iowa in the United States .
ENG-dev-0039	la misión estaba funcionando sin problemas.	the mission was going too smoothly .
ENG-dev-0108	El siglo 25 aC describe la naturaleza del faraón en diferentes personajes como Horus y Osiris.	When he died , that pharaoh became Osiris , the god of the dead and the father of Horus .
ENG-dev-0209	Pero él es un gran tipo y la ama por lo que es.	He is a great guy and loves her for the person she is.
ENG-dev-0228	Un trabajador siderúrgico enmascarado y vestido de naranja trabaja en un trozo de metal, mientras saltan chispas amarillas.	African American children playing in a street in front of a yellow car.
ENG-dev-0015	El festival estuvo encabezado por grupos musicales y artistas locales e internacionales, entre ellos:	Local and international musical groups and artists performed , including :
ENG-dev-0194	¿De verdad crees que la abrirás antes de que llegue la policía?	you really think you can crack that before the cops get here ?
ENG-dev-0146	A media tarde, el índice compuesto Nasdaq subía 8,34, o un 0,5 por ciento, a 1.790,47.	The Nasdaq Composite Index .IXIC dipped 8.59 points, or 0.48 percent, to 1,773.54.
ENG-dev-0048	Estuve al borde de mi asiento durante la mayor parte de este libro y no podía dejar de leer.	The only gripe I have with this book is it's simply not long enough.
ENG-dev-0004	Todavía estoy confundido acerca de lo que siento acerca de este libro.	In this particular book, Blue and Gansey are still struggling to reconcile their (very forbidden) feelings for each other.
ENG-dev-0195	Un niño vestido de rojo salta hacia atrás sobre la arena en un parque infantil.	The boy in red swimming trunks is jumping on the sand.
ENG-dev-0123	Puede que parezca masoquista pero realmente fue divertido :D y los pensamientos de Poet fueron brillantes e inusuales.	I don't know I really loved all of the characters with their craziness and all.
ENG-dev-0117	La ciudad es la sede del condado de Blount.	It is the county seat of Northampton County .
ENG-dev-0054	Al cabo de una semana, Vedder se había unido a la banda.	The lead singer of the band is Eddie Vedder .
ENG-dev-0244	El lenguaje se ha inspirado, especialmente EJB3-QL, en el lenguaje de consulta nativo Hibernate HQL.	The language has been inspired by the native Hibernate Query Language HQL .
ENG-dev-0073	Bueno, desde mi punto de vista, supongo que esto es quahog, pero no es una era de hielo.	from the look of it , i 'm guessing this is quahog but during some sort of ice age .
ENG-dev-0069	Clinical Rehabilitation es una revista médica mensual revisada por pares que publica artículos académicos en el campo de la medicina de rehabilitación.	The journal was established in 1987.
ENG-dev-0084	todo lo que dices es correcto.	have you strewn my pages with stardust ?
ENG-dev-0115	Es originaria del suroeste de Estados Unidos, donde crece en matorrales, bosques y cañones.	It is a perennial herb growing erect to a maximum height near half a meter.
ENG-dev-0172	estás castigado por los neumáticos.	slam , man . you find it ?
ENG-dev-0236	¿Alguna vez has oído hablar de pijamas?	you totally drool on her , mate .
ENG-dev-0041	El pueblo habla y te ha elegido, Britt.	the people have spoken , and they want you , brit .
ENG-dev-0201	Fue rehecho en 1952.	The film's art direction was by Robert Neppach and Erwin Scharf.
ENG-dev-0134	¿Y puedes regalarle esto a tu mamá?	would you give this to mom for me ?
ENG-dev-0113	Se cree que la cantante mexicana Jenni Rivera murió en un accidente aéreo	Jenni Rivera, Mexican music star, dies in plane crash
ENG-dev-0082	Dos policías vestidos de negro y colores neón ven pasar un vagón de tren ligero.	An Asian man wearing black and red clothes and shoes dribbles a basketball on a court.
ENG-dev-0064	Los personajes están bien desarrollados y la trama es muy intensa y bien hecha.	This is one book you'll want to read with the lights on.
ENG-dev-0204	Glidden es una ciudad en el condado de Carroll, Iowa, Estados Unidos.	Balsam Lake is a town in Polk County , Wisconsin , United States .
ENG-dev-0202	La especie también se conoce como hipopótamo común o hipopótamo del Nilo.	 is for quickly generating category tags related to birth and death years , including living people and missing or unknown values .
ENG-dev-0003	El éxito de la película también hizo que Dreamworks Animation creara tres secuelas: Shrek 2, Shrek Tercero y Shrek para siempre.	There have also been two sequels -LRB- follow-ups -RRB- of Shrek , called Shrek 2 and Shrek the Third .
ENG-dev-0159	Los niños juegan al fútbol en un campo.	Three boys playing soccer in a field
ENG-dev-0214	Un hombre vestido con una camisa blanca y una falda escocesa azul baila con una mujer con un vestido verde.	A boy with curly hair and a black shirt is balancing on his skateboard on a ledge.
ENG-dev-0089	La niña voló su cometa mientras corría cuesta arriba.	A girl loses her kite.
ENG-dev-0186	tienes que tener 18 años solo	You must reach the age of 18 individually.
ENG-dev-0155	Por cierto, me voy a leer Free Four después de escribir esta reseña.	I think I read it four or five times.
ENG-dev-0088	Wyanbene es un área geográfica entre Braidwood y Cooma en el sur de Nueva Gales del Sur, Australia.	It includes a significant cave system and is adjacent to Deua National Park.
ENG-dev-0132	Ippei Watanabe -LRB- nacido el 28 de septiembre de 1969 -RRB- es un ex jugador de fútbol japonés.	Masanaga Kageyama -LRB- born 23 May 1967 -RRB- is a former Japanese football player .
ENG-dev-0038	Además, alberga un conocido cementerio, el Cementerio Forest Park, actualmente bajo jurisdicción de la localidad.	Fibulae are also divided into classes based on their general forms .
ENG-dev-0163	Este libro NO fue aburrido.	None of this is to say I don't like this book.
